374,085
374,479
374,874
375,268
375,663
376,057
376,452
376,846
377,24
377,635
378,029
378,423
378,817
379,211
379,605
379,999
380,393
380,787
381,181
381,575
381,969
382,363
382,756
383,15
383,544
383,937
384,331
384,724
385,118
385,511
385,905
386,298
386,691
387,084
387,478
387,871
388,264
388,657
389,05
389,443
389,836
390,229
390,622
391,015
391,408
391,8
392,193
392,586
392,978
393,371
393,764
394,156
394,549
394,941
395,333
395,726
396,118
396,51
396,902
397,295
397,687
398,079
398,471
398,863
399,255
399,647
400,039
400,43
400,822
401,214
401,606
401,997
402,389
402,781
403,172
403,564
403,955
404,346
404,738
405,129
405,52
405,912
406,303
406,694
407,085
407,476
407,867
408,258
408,649
409,04
409,431
409,822
410,213
410,603
410,994
411,385
411,775
412,166
412,556
412,947
413,337
413,728
414,118
414,508
414,899
415,289
415,679
416,069
416,459
416,849
417,239
417,629
418,019
418,409
418,799
419,189
419,579
419,968
420,358
420,748
421,137
421,527
421,916
422,306
422,695
423,085
423,474
423,863
424,252
424,642
425,031
425,42
425,809
426,198
426,587
426,976
427,365
427,754
428,143
428,531
428,92
429,309
429,697
430,086
430,475
430,863
431,252
431,64
432,029
432,417
432,805
433,193
433,582
433,97
434,358
434,746
435,134
435,522
435,91
436,298
436,686
437,074
437,462
437,849
438,237
438,625
439,012
439,4
439,788
440,175
440,563
440,95
441,337
441,725
442,112
442,499
442,886
443,274
443,661
444,048
444,435
444,822
445,209
445,596
445,983
446,369
446,756
447,143
447,53
447,916
448,303
448,689
449,076
449,462
449,849
450,235
450,622
451,008
451,394
451,78
452,166
452,553
452,939
453,325
453,711
454,097
454,483
454,868
455,254
455,64
456,026
456,412
456,797
457,183
457,568
457,954
458,339
458,725
459,11
459,496
459,881
460,266
460,651
461,037
461,422
461,807
462,192
462,577
462,962
463,347
463,732
464,117
464,501
464,886
465,271
465,656
466,04
466,425
466,809
467,194
467,578
467,963
468,347
468,731
469,116
469,5
469,884
470,268
470,652
471,036
471,42
471,804
472,188
472,572
472,956
473,34
473,724
474,107
474,491
474,875
475,258
475,642
476,025
476,409
476,792
477,175
477,559
477,942
478,325
478,709
479,092
479,475
479,858
480,241
480,624
481,007
481,39
481,773
482,155
482,538
482,921
483,304
483,686
484,069
484,451
484,834
485,216
485,599
485,981
486,363
486,746
487,128
487,51
487,892
488,274
488,656
489,038
489,42
489,802
490,184
490,566
490,948
491,33
491,711
492,093
492,475
492,856
493,238
493,619
494,001
494,382
494,764
495,145
495,526
495,907
496,289
496,67
497,051
497,432
497,813
498,194
498,575
498,956
499,337
499,717
500,098
500,479
500,86
501,24
501,621
502,001
502,382
502,762
503,143
503,523
503,903
504,284
504,664
505,044
505,424
505,804
506,184
506,564
506,944
507,324
507,704
508,084
